id,husband_id,wife_id,in_service
1,443,662,out_of_service
2,444,663,in_service
3,445,664,in_service
4,446,665,out_of_service
5,447,666,in_service
6,448,667,in_service
7,449,668,in_service
8,450,669,in_service
10,452,671,in_service
11,453,672,out_of_service
12,454,673,in_service
13,455,674,out_of_service
14,456,675,out_of_service
15,457,676,out_of_service
16,458,677,in_service
17,459,678,in_service
18,460,679,in_service
20,462,681,in_service
21,463,682,out_of_service
22,464,683,in_service
23,465,684,out_of_service
24,466,685,out_of_service
25,467,686,in_service
26,468,687,in_service
27,469,,out_of_service
28,470,689,out_of_service
29,471,690,in_service
30,472,691,in_service
31,473,692,in_service
32,474,693,out_of_service
33,475,694,in_service
34,476,695,out_of_service
35,477,696,out_of_service
36,478,697,out_of_service
37,479,698,in_service
38,480,699,in_service
39,481,700,in_service
40,482,701,out_of_service
41,483,702,in_service
42,484,703,in_service
43,485,704,in_service
44,486,705,out_of_service
45,487,706,out_of_service
46,488,707,in_service
47,489,708,out_of_service
48,490,709,in_service
49,491,,in_service
50,492,711,out_of_service
51,493,712,in_service
52,494,713,out_of_service
53,495,714,out_of_service
54,496,715,in_service
55,497,716,out_of_service
56,498,717,in_service
57,499,718,out_of_service
58,500,719,out_of_service
59,501,720,in_service
60,502,721,in_service
61,503,722,in_service
62,504,723,out_of_service
63,505,724,out_of_service
64,506,725,out_of_service
65,507,726,in_service
66,508,727,out_of_service
67,509,728,in_service
68,510,729,out_of_service
69,511,730,in_service
70,512,731,in_service
71,513,732,in_service
72,514,733,in_service
73,515,,out_of_service
74,516,735,in_service
75,517,736,in_service
77,519,738,out_of_service
78,520,739,in_service
79,521,740,out_of_service
80,522,741,out_of_service
82,524,743,out_of_service
83,525,744,in_service
84,526,745,in_service
85,527,746,out_of_service
86,528,747,out_of_service
87,529,748,in_service
88,530,749,out_of_service
90,532,751,in_service
91,533,752,in_service
92,534,753,out_of_service
94,536,755,in_service
95,537,756,in_service
96,538,757,in_service
97,539,758,out_of_service
98,540,759,in_service
99,541,760,in_service
100,542,761,out_of_service
101,543,762,out_of_service
102,544,763,out_of_service
103,545,764,out_of_service
104,546,765,out_of_service
105,547,766,out_of_service
106,548,767,in_service
107,549,768,in_service
108,550,769,in_service
109,551,770,out_of_service
110,552,771,in_service
111,553,772,in_service
112,554,773,in_service
113,555,774,in_service
114,556,775,in_service
115,557,776,in_service
116,558,777,in_service
117,559,778,in_service
118,560,779,out_of_service
119,561,780,out_of_service
120,562,781,out_of_service
121,563,782,out_of_service
122,564,783,out_of_service
123,565,784,in_service
124,566,785,out_of_service
125,567,786,in_service
126,568,2992,in_service
127,569,788,in_service
128,570,789,in_service
129,571,790,in_service
130,572,791,in_service
131,573,792,in_service
132,574,793,out_of_service
133,575,794,in_service
134,576,795,out_of_service
135,577,796,out_of_service
136,578,797,in_service
137,2290,798,out_of_service
138,580,799,out_of_service
139,581,800,in_service
140,582,801,in_service
141,583,802,out_of_service
142,584,803,in_service
143,585,804,in_service
144,586,805,in_service
145,587,806,out_of_service
146,588,807,in_service
147,589,808,out_of_service
148,590,809,in_service
149,591,810,out_of_service
150,592,811,out_of_service
151,593,812,out_of_service
152,594,813,out_of_service
153,595,814,out_of_service
154,596,815,in_service
155,597,816,in_service
156,598,817,out_of_service
157,599,818,out_of_service
158,600,819,in_service
159,601,820,in_service
160,602,821,out_of_service
161,603,822,in_service
162,604,823,out_of_service
163,605,824,out_of_service
164,606,825,out_of_service
165,607,826,out_of_service
166,608,827,out_of_service
167,609,828,in_service
168,610,829,out_of_service
169,611,830,in_service
170,612,831,in_service
171,613,832,out_of_service
172,614,833,in_service
173,615,834,in_service
174,616,835,in_service
175,617,,out_of_service
176,618,837,in_service
177,619,,out_of_service
178,620,839,in_service
179,621,840,in_service
180,622,841,out_of_service
181,623,,out_of_service
182,624,843,out_of_service
183,625,844,in_service
184,626,845,in_service
185,627,846,out_of_service
186,628,847,out_of_service
187,629,848,in_service
188,630,849,out_of_service
189,631,850,out_of_service
190,632,851,out_of_service
191,633,852,in_service
192,634,853,in_service
193,635,854,out_of_service
194,636,855,out_of_service
195,637,856,in_service
196,638,857,in_service
197,639,858,in_service
198,640,859,in_service
199,641,860,out_of_service
200,642,861,out_of_service
201,643,862,out_of_service
202,644,863,out_of_service
203,645,,out_of_service
204,646,865,in_service
205,647,866,in_service
206,648,867,out_of_service
207,649,868,in_service
208,650,869,out_of_service
